country,b3,b2,b1,l1,l2,l3,mid,p,date,bet
Harry Kane,9.4,9.6,9.8,10.0,10.5,11.0,9.9,0.10101010101010101,2022-11-20,goalscorer
Kylian Mbappe,9.8,10.0,10.5,11.0,11.5,12.0,10.75,0.09302325581395349,2022-11-20,goalscorer
Lionel Messi,11.0,11.5,12.0,12.5,13.0,13.5,12.25,0.08163265306122448,2022-11-20,goalscorer
Neymar,12.5,13.0,13.5,14.0,14.5,16.0,13.75,0.07272727272727272,2022-11-20,goalscorer
Cristiano Ronaldo,18.5,19.5,20.0,21.0,26.0,1000.0,20.5,0.04878048780487805,2022-11-20,goalscorer
Lautaro Martinez,18.5,19.0,19.5,20.0,21.0,23.0,19.75,0.05063291139240506,2022-11-20,goalscorer
Memphis Depay,25.0,26.0,27.0,28.0,30.0,32.0,27.5,0.03636363636363636,2022-11-20,goalscorer
Richarlison,26.0,27.0,28.0,29.0,30.0,32.0,28.5,0.03508771929824561,2022-11-20,goalscorer
Darwin Nunez,36.0,38.0,40.0,44.0,48.0,50.0,42.0,0.023809523809523808,2022-11-20,goalscorer
Alvaro Morata,32.0,36.0,38.0,40.0,48.0,75.0,39.0,0.02564102564102564,2022-11-20,goalscorer
Vinicius Junior,29.0,36.0,38.0,42.0,44.0,48.0,40.0,0.025,2022-11-20,goalscorer
Olivier Giroud,1.01,2.0,34.0,38.0,46.0,55.0,36.0,0.027777777777777776,2022-11-20,goalscorer
Robert Lewandowski,32.0,40.0,46.0,55.0,60.0,65.0,50.5,0.019801980198019802,2022-11-20,goalscorer
Romelu Lukaku,30.0,36.0,50.0,80.0,90.0,140.0,65.0,0.015384615384615385,2022-11-20,goalscorer
Gabriel Jesus,55.0,65.0,70.0,1000.0,,,535.0,0.001869158878504673,2022-11-20,goalscorer
Kai Havertz,44.0,50.0,60.0,70.0,75.0,100.0,65.0,0.015384615384615385,2022-11-20,goalscorer
Cody Gakpo,48.0,50.0,60.0,75.0,100.0,180.0,67.5,0.014814814814814815,2022-11-20,goalscorer
Antoine Griezmann,1.01,42.0,46.0,70.0,150.0,190.0,58.0,0.017241379310344827,2022-11-20,goalscorer
Serge Gnabry,50.0,60.0,65.0,70.0,80.0,130.0,67.5,0.014814814814814815,2022-11-20,goalscorer
Aleksandar Mitrovic,50.0,55.0,60.0,70.0,85.0,100.0,65.0,0.015384615384615385,2022-11-20,goalscorer
Julian Alvarez,65.0,70.0,75.0,100.0,110.0,,87.5,0.011428571428571429,2022-11-20,goalscorer
Jamal Musiala,70.0,75.0,80.0,95.0,130.0,200.0,87.5,0.011428571428571429,2022-11-20,goalscorer
Luis Suarez,55.0,70.0,80.0,90.0,100.0,120.0,85.0,0.011764705882352941,2022-11-20,goalscorer
Steven Bergwijn,65.0,70.0,90.0,150.0,,,120.0,0.008333333333333333,2022-11-20,goalscorer
Ferran Torres,70.0,80.0,95.0,110.0,120.0,1000.0,102.5,0.00975609756097561,2022-11-20,goalscorer
